,Reason for absence,Month,Day of the week,Seasons,Transportation expense,Distance to Work,Service time,Age,Work load,Education,Son,Social drinker,Social smoker,Weight,Height,Body mass index,Absenteeism time in hours
155,23,6,3,3,118,13,,50,,1,1,1,0,98,178,31,1
156,13,6,4,3,118,13,,50,,1,1,1,0,98,178,31,80
157,22,6,5,3,378,49,,36,,1,2,0,1,65,174,21,8
158,11,6,6,3,179,51,,38,,1,0,1,0,89,170,31,2
159,28,6,2,1,289,48,,49,,1,0,0,0,108,172,36,2
160,28,6,5,1,225,26,,28,,1,1,0,0,69,169,24,2
161,19,7,3,1,155,12,14,34,275.312,1,2,1,0,95,196,25,16
162,1,7,4,1,118,13,,50,275.312,1,1,1,0,98,178,31,8
163,5,7,6,1,118,10,10,37,275.312,1,0,0,0,83,172,28,8
164,26,7,6,1,118,10,10,37,275.312,1,0,0,0,83,172,28,4
165,26,7,3,1,330,16,4,28,275.312,2,0,0,0,84,182,25,8
166,23,8,2,1,289,36,,33,265.615,1,2,1,0,90,172,30,1
167,18,8,3,1,228,14,16,58,265.615,1,2,0,0,65,172,22,8
168,13,8,5,1,300,26,,43,265.615,1,2,1,1,77,175,25,1
169,14,8,5,1,300,26,,43,265.615,1,2,1,1,77,175,25,2
170,28,8,6,1,260,50,,36,265.615,1,4,1,0,65,168,23,4
171,23,8,3,1,289,36,,33,265.615,1,2,1,0,90,172,30,4
172,23,8,4,1,248,25,14,47,265.615,1,2,0,0,86,165,32,1
173,11,8,5,1,268,11,,33,265.615,2,0,0,0,79,178,25,8
174,23,8,5,1,179,26,,30,265.615,3,0,0,0,56,171,19,1
175,13,8,5,1,118,13,,50,265.615,1,1,1,0,98,178,31,3
176,25,8,2,1,248,25,14,47,265.615,1,2,0,0,86,165,32,2
177,23,8,3,1,235,11,14,37,265.615,3,1,0,0,88,172,29,1
178,23,8,5,1,118,13,,50,265.615,1,1,1,0,98,178,31,1
179,19,8,5,1,235,11,14,37,265.615,3,1,0,0,88,172,29,8
180,8,8,3,1,361,52,,28,265.615,1,1,1,0,80,172,27,8
181,6,8,4,1,184,42,,27,265.615,1,0,0,0,58,167,21,8
182,11,9,2,1,179,51,,38,,1,0,1,0,89,170,31,8
183,23,9,6,1,179,51,,38,,1,0,1,0,89,170,31,3
184,19,9,4,1,289,36,,33,,1,2,1,0,90,172,30,24
185,0,9,5,1,235,20,,43,,1,1,1,0,106,167,38,0
186,9,9,2,1,246,25,16,41,,1,0,1,0,67,170,23,16
187,28,9,3,1,291,31,12,40,,1,1,1,0,73,171,25,3
188,0,9,3,1,231,35,14,39,,1,2,1,0,100,170,35,0
189,0,9,3,1,291,50,12,32,,1,0,1,0,65,169,23,0
190,13,9,4,1,179,51,,38,,1,0,1,0,89,170,31,8
191,9,9,4,1,246,25,16,41,,1,0,1,0,67,170,23,32
192,23,9,5,1,179,51,,38,,1,0,1,0,89,170,31,1
193,28,9,6,1,291,31,12,40,,1,1,1,0,73,171,25,4
194,28,9,6,1,260,50,,36,,1,4,1,0,65,168,23,4
195,26,9,4,4,235,20,,43,,1,1,1,0,106,167,38,8
196,28,9,5,4,118,13,,50,,1,1,1,0,98,178,31,1
197,0,9,5,4,235,20,,43,,1,1,1,0,106,167,38,0
198,28,9,6,4,291,31,12,40,,1,1,1,0,73,171,25,3
199,7,9,2,4,291,31,12,40,,1,1,1,0,73,171,25,40
200,13,9,2,4,179,51,,38,,1,0,1,0,89,170,31,8
201,24,10,2,4,289,36,,33,,1,2,1,0,90,172,30,8
202,26,10,2,4,235,11,14,37,,3,1,0,0,88,172,29,4
203,26,10,2,4,289,36,,33,,1,2,1,0,90,172,30,8
204,22,10,6,4,289,36,,33,,1,2,1,0,90,172,30,8
205,0,10,6,4,118,13,,50,,1,1,1,0,98,178,31,0
206,0,10,6,4,248,25,14,47,,1,2,0,0,86,165,32,0
207,1,10,2,4,179,26,,30,,3,0,0,0,56,171,19,8
208,7,10,2,4,118,10,10,37,,1,0,0,0,83,172,28,3
209,22,10,2,4,369,17,12,31,,1,3,1,0,70,169,25,8
210,28,10,4,4,179,51,,38,,1,0,1,0,89,170,31,1
211,1,10,4,4,179,26,,30,,3,0,0,0,56,171,19,64
212,0,10,4,4,235,20,,43,,1,1,1,0,106,167,38,0
213,19,10,5,4,289,36,,33,,1,2,1,0,90,172,30,16
214,28,10,6,4,260,50,,36,,1,4,1,0,65,168,23,3
215,0,10,6,4,235,20,,43,,1,1,1,0,106,167,38,0
216,23,10,2,4,235,20,,43,,1,1,1,0,106,167,38,2
217,23,10,2,4,235,20,,43,,1,1,1,0,106,167,38,2
218,28,10,3,4,118,13,,50,,1,1,1,0,98,178,31,1
219,28,10,3,4,291,31,12,40,,1,1,1,0,73,171,25,4
220,23,10,5,4,179,26,,30,,3,0,0,0,56,171,19,16
221,28,11,5,4,179,51,,38,284.031,1,0,1,0,89,170,31,3
222,13,11,6,4,246,25,16,41,284.031,1,0,1,0,67,170,23,8
223,12,11,6,4,291,31,12,40,284.031,1,1,1,0,73,171,25,4
224,13,11,2,4,246,25,16,41,284.031,1,0,1,0,67,170,23,8
225,28,11,3,4,179,51,,38,284.031,1,0,1,0,89,170,31,1
226,10,11,4,4,260,50,,36,284.031,1,4,1,0,65,168,23,8
227,15,11,6,4,260,50,,36,284.031,1,4,1,0,65,168,23,8
228,0,11,6,4,378,49,,36,284.031,1,2,0,1,65,174,21,0
229,0,11,3,4,279,5,14,39,284.031,1,2,1,1,68,168,24,0
230,23,11,5,4,179,51,,38,284.031,1,0,1,0,89,170,31,1
231,12,12,2,4,225,26,,28,236.629,1,1,0,0,69,169,24,3
232,28,12,2,4,179,51,,38,236.629,1,0,1,0,89,170,31,2
233,28,12,2,4,179,51,,38,236.629,1,0,1,0,89,170,31,1
234,23,12,2,4,235,11,14,37,236.629,3,1,0,0,88,172,29,3
235,28,12,3,4,118,13,,50,236.629,1,1,1,0,98,178,31,1
236,28,12,6,4,260,50,,36,236.629,1,4,1,0,65,168,23,4
237,4,12,5,4,246,25,16,41,236.629,1,0,1,0,67,170,23,8
238,28,12,5,4,179,51,,38,236.629,1,0,1,0,89,170,31,1
239,28,12,6,4,179,51,,38,236.629,1,0,1,0,89,170,31,1
240,23,12,3,4,179,26,,30,236.629,3,0,0,0,56,171,19,1
241,25,12,3,4,118,10,10,37,236.629,1,0,0,0,83,172,28,8
242,25,12,5,4,235,11,14,37,236.629,3,1,0,0,88,172,29,2
243,28,12,6,4,179,51,,38,236.629,1,0,1,0,89,170,31,1
244,13,12,3,2,235,20,,43,236.629,1,1,1,0,106,167,38,8
245,14,12,3,2,235,11,14,37,236.629,3,1,0,0,88,172,29,4
246,26,12,4,2,260,50,,36,236.629,1,4,1,0,65,168,23,8
247,28,12,2,2,157,27,,29,236.629,1,0,1,1,75,185,22,2
248,28,12,2,2,179,51,,38,236.629,1,0,1,0,89,170,31,3
249,19,12,2,2,289,36,,33,236.629,1,2,1,0,90,172,30,8
250,23,1,4,2,225,26,,28,330.061,1,1,0,0,69,169,24,5
251,19,1,2,2,118,10,10,37,330.061,1,0,0,0,83,172,28,32
252,23,1,2,2,155,12,14,34,330.061,1,2,1,0,95,196,25,2
253,13,1,3,2,235,11,14,37,330.061,3,1,0,0,88,172,29,1
254,23,1,3,2,155,12,14,34,330.061,1,2,1,0,95,196,25,4
255,26,1,2,2,289,36,,33,330.061,1,2,1,0,90,172,30,8
256,3,1,4,2,291,31,12,40,330.061,1,1,1,0,73,171,25,8
257,26,1,2,2,235,20,,43,330.061,1,1,1,0,106,167,38,8
258,26,1,2,2,118,13,,50,330.061,1,1,1,0,98,178,31,4
259,28,1,4,2,179,51,,38,330.061,1,0,1,0,89,170,31,1
260,28,1,6,2,179,51,,38,330.061,1,0,1,0,89,170,31,1
261,28,2,3,2,118,10,10,37,251.818,1,0,0,0,83,172,28,2
262,27,2,4,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
263,7,2,4,2,225,26,,28,251.818,1,1,0,0,69,169,24,1
264,22,2,6,2,289,36,,33,251.818,1,2,1,0,90,172,30,3
265,28,2,6,2,260,50,,36,251.818,1,4,1,0,65,168,23,3
266,23,2,6,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
267,27,2,2,2,179,51,,38,251.818,1,0,1,0,89,170,31,2
268,27,2,4,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
269,10,2,5,2,179,51,,38,251.818,1,0,1,0,89,170,31,8
270,26,2,5,2,246,25,16,41,251.818,1,0,1,0,67,170,23,8
271,27,2,6,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
272,22,2,2,2,189,29,,33,251.818,1,2,0,0,69,167,25,8
273,27,2,2,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
274,23,2,3,2,246,25,16,41,251.818,1,0,1,0,67,170,23,2
275,23,2,3,2,291,31,12,40,251.818,1,1,1,0,73,171,25,2
276,11,2,4,2,157,27,,29,251.818,1,0,1,1,75,185,22,16
277,27,2,4,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
278,27,2,6,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
279,10,2,6,2,246,25,16,41,251.818,1,0,1,0,67,170,23,24
280,27,2,4,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
281,27,2,6,2,179,51,,38,251.818,1,0,1,0,89,170,31,3
282,18,3,3,2,118,10,10,37,244.387,1,0,0,0,83,172,28,8
283,19,3,4,2,246,25,16,41,244.387,1,0,1,0,67,170,23,16
284,28,3,6,2,246,25,16,41,244.387,1,0,1,0,67,170,23,2
285,28,3,6,2,260,50,,36,244.387,1,4,1,0,65,168,23,4
286,28,3,2,2,179,51,,38,244.387,1,0,1,0,89,170,31,2
287,22,3,2,2,235,11,14,37,244.387,3,1,0,0,88,172,29,8
288,22,3,3,2,179,22,17,40,244.387,2,2,0,1,63,170,22,8
289,22,3,3,2,378,49,,36,244.387,1,2,0,1,65,174,21,8
290,28,3,2,2,179,51,,38,244.387,1,0,1,0,89,170,31,16
291,23,4,2,3,118,13,,50,239.409,1,1,1,0,98,178,31,1
292,13,4,4,3,118,13,,50,239.409,1,1,1,0,98,178,31,120
293,28,4,6,3,300,26,,43,239.409,1,2,1,1,77,175,25,8
294,28,4,6,3,260,50,,36,239.409,1,4,1,0,65,168,23,4
295,28,4,2,3,179,51,,38,239.409,1,0,1,0,89,170,31,4
296,11,4,4,3,118,10,10,37,239.409,1,0,0,0,83,172,28,2
297,13,5,2,3,235,20,,43,,1,1,1,0,106,167,38,16
298,23,5,4,3,248,25,14,47,,1,2,0,0,86,165,32,2
299,10,5,2,3,369,17,12,31,,1,3,1,0,70,169,25,8
300,23,5,4,3,179,26,,30,,3,0,0,0,56,171,19,3
301,28,5,4,3,179,51,,38,,1,0,1,0,89,170,31,4
302,23,5,5,3,361,52,,28,,1,1,1,0,80,172,27,1
303,28,5,6,3,260,50,,36,,1,4,1,0,65,168,23,3
304,11,5,2,3,179,22,17,40,,2,2,0,1,63,170,22,2
305,8,5,2,3,179,22,17,40,,2,2,0,1,63,170,22,3
306,18,5,4,3,228,14,16,58,,1,2,0,0,65,172,22,8
307,25,5,4,3,225,26,,28,,1,1,0,0,69,169,24,3
308,13,5,6,3,330,16,4,28,,2,0,0,0,84,182,25,8
309,25,5,2,3,179,26,,30,,3,0,0,0,56,171,19,2
310,28,5,2,3,118,10,10,37,,1,0,0,0,83,172,28,1
311,1,5,2,3,235,11,14,37,,3,1,0,0,88,172,29,8
312,23,5,4,3,179,26,,30,,3,0,0,0,56,171,19,3
313,23,6,2,3,118,10,10,37,253.957,1,0,0,0,83,172,28,3
314,28,6,2,3,179,51,,38,253.957,1,0,1,0,89,170,31,3
315,28,6,3,3,118,10,10,37,253.957,1,0,0,0,83,172,28,2
316,23,6,5,3,225,26,,28,253.957,1,1,0,0,69,169,24,4
317,28,6,6,3,260,50,,36,253.957,1,4,1,0,65,168,23,4
318,0,6,6,3,179,51,,38,253.957,1,0,1,0,89,170,31,0
319,13,6,2,3,291,31,12,40,253.957,1,1,1,0,73,171,25,40
320,28,6,2,3,179,51,,38,253.957,1,0,1,0,89,170,31,24
321,28,6,3,3,246,25,16,41,253.957,1,0,1,0,67,170,23,3
322,28,6,2,3,179,51,,38,253.957,1,0,1,0,89,170,31,4
323,26,6,3,3,235,20,,43,253.957,1,1,1,0,106,167,38,8
324,26,7,6,1,118,10,10,37,230.29,1,0,0,0,83,172,28,8
325,26,7,2,1,260,50,,36,230.29,1,4,1,0,65,168,23,4
326,23,7,6,1,118,13,,50,230.29,1,1,1,0,98,178,31,1
327,22,7,6,1,361,52,,28,230.29,1,1,1,0,80,172,27,8
328,22,7,2,1,289,36,,33,230.29,1,2,1,0,90,172,30,8
329,26,7,2,1,235,20,,43,230.29,1,1,1,0,106,167,38,8
330,28,7,3,1,246,25,16,41,230.29,1,0,1,0,67,170,23,2
331,28,7,5,1,291,31,12,40,230.29,1,1,1,0,73,171,25,1
332,23,7,5,1,279,5,14,39,230.29,1,2,1,1,68,168,24,2
333,25,8,5,1,179,51,,38,249.797,1,0,1,0,89,170,31,4
334,25,8,2,1,179,22,17,40,249.797,2,2,0,1,63,170,22,1
335,28,8,3,1,246,25,16,41,249.797,1,0,1,0,67,170,23,4
336,28,8,3,1,118,10,10,37,249.797,1,0,0,0,83,172,28,4
337,28,9,3,1,246,25,16,41,261.756,1,0,1,0,67,170,23,1
338,28,9,3,1,118,10,10,37,261.756,1,0,0,0,83,172,28,3
339,23,9,3,1,155,12,14,34,261.756,1,2,1,0,95,196,25,2
340,28,9,5,1,291,31,12,40,261.756,1,1,1,0,73,171,25,2
341,23,10,6,4,291,31,12,40,,1,1,1,0,73,171,25,1
342,23,10,3,4,225,26,,28,,1,1,0,0,69,169,24,2
343,23,10,3,4,369,17,12,31,,1,3,1,0,70,169,25,8
344,23,10,3,4,369,17,12,31,,1,3,1,0,70,169,25,3
345,23,10,3,4,225,26,,28,,1,1,0,0,69,169,24,4
346,26,10,3,4,369,17,12,31,,1,3,1,0,70,169,25,8
347,28,10,4,4,179,51,,38,,1,0,1,0,89,170,31,3
348,1,10,4,4,228,14,16,58,,1,2,0,0,65,172,22,1
349,23,10,4,4,291,31,12,40,,1,1,1,0,73,171,25,1
350,10,10,5,4,369,17,12,31,,1,3,1,0,70,169,25,8
351,13,10,5,4,225,26,,28,,1,1,0,0,69,169,24,1
352,10,10,6,4,369,17,12,31,,1,3,1,0,70,169,25,8
353,10,10,6,4,225,26,,28,,1,1,0,0,69,169,24,3
354,23,10,2,4,189,29,,33,,1,2,0,0,69,167,25,8
355,6,10,2,4,235,16,,32,,3,0,0,0,75,178,25,8
356,10,10,2,4,248,25,14,47,,1,2,0,0,86,165,32,8
357,0,10,2,4,225,26,,28,,1,1,0,0,69,169,24,0
358,13,10,3,4,225,26,,28,,1,1,0,0,69,169,24,3
359,21,11,3,4,179,51,,38,268.519,1,0,1,0,89,170,31,1
360,28,11,4,4,118,10,10,37,268.519,1,0,0,0,83,172,28,3
361,14,11,5,4,248,25,14,47,268.519,1,2,0,0,86,165,32,4
362,0,11,5,4,235,20,,43,268.519,1,1,1,0,106,167,38,0
363,23,11,6,4,225,26,,28,268.519,1,1,0,0,69,169,24,2
364,26,11,6,4,369,17,12,31,268.519,1,3,1,0,70,169,25,8
365,28,11,2,4,361,52,,28,268.519,1,1,1,0,80,172,27,2
366,13,12,3,4,179,51,,38,280.549,1,0,1,0,89,170,31,32
367,28,12,4,4,291,31,12,40,280.549,1,1,1,0,73,171,25,1
368,23,12,4,4,225,26,,28,280.549,1,1,0,0,69,169,24,3
369,13,12,6,4,179,26,,30,280.549,3,0,0,0,56,171,19,1
370,25,1,6,2,179,22,17,40,,2,2,0,1,63,170,22,2
371,13,1,2,2,179,26,,30,,3,0,0,0,56,171,19,3
372,25,1,4,2,179,22,17,40,,2,2,0,1,63,170,22,2
373,10,1,5,2,289,48,,49,,1,0,0,0,108,172,36,8
374,18,1,6,2,179,22,17,40,,2,2,0,1,63,170,22,3
375,27,1,2,2,179,26,,30,,3,0,0,0,56,171,19,2
376,18,1,3,2,155,12,14,34,,1,2,1,0,95,196,25,8
377,27,1,4,2,179,26,,30,,3,0,0,0,56,171,19,2
378,27,1,4,2,179,51,,38,,1,0,1,0,89,170,31,3
379,13,1,4,2,289,36,,33,,1,2,1,0,90,172,30,8
380,27,1,5,2,179,51,,38,,1,0,1,0,89,170,31,3
381,27,1,6,2,179,51,,38,,1,0,1,0,89,170,31,2
382,13,2,3,2,179,51,,38,264.249,1,0,1,0,89,170,31,8
